Başlık;İçerik;Kelimeler;Betwenness;
C-AJANS;Ajans turizm-tanıtım elçisi olarak çalışmamalı, bunu yapan yapacak başka birimler mevcuttur. Ajansın işi ülke ülke fuar fuar gezmek olmamalıdır.;ajans,turizm,tanıtım,elçi,birim,mevcut,ajans,iş,ülke,ülke,fuar,fuar,gezme,;5,55
C-AJANS;İzmir’in mukayeseli üstünlükleri nedir, bunların geçerliliği var mıdır şeklinde yabancılarla beraber kapsamlı bir analiz çalışması yapılmalı. Bir liman kenti ama bu alanda üstünlüğü var mı mesela, tekrar nasıl kazanabilir?;üstünlük,geçerlilik,analiz,çalışma,yapılma,liman,kent,alan,üstünlük,tekrar,;5,15
C-AJANS;Plan gerçekçi bilgi üzerine inşa edilmelidir. Örn. Göç konusu hakkında hiçbir şey bilmiyoruz, sosyokültürel yapısının tespiti gereklidir.;plan,bilgi,üzerine,inşa,edilme,göç,konu,yapı,tespit,gerek,;4,9
F-İZMİR;Yarımadanın muhafazası gerekir. Buralarda karakterine uygun şekilde teknoloji üretimi, üniversite gelişimleri önceliklendirilmelidir. Çevre ile sorun yaşamayacak konular öne çıkmalıdır. Şehirde de genel olarak bir yeşil alan sorunu var, kentsel yaşam kalitesi için parkların ve yeşil alanların artışı gerekli.;yarımada,muhafaza,bura,karakter,şekil,teknoloji,üretim,üniversite,gelişim,çevre,sorun,yaşama,çıkma,şehir,yeşil alan,sorun,yaşam,kalite,park,yeşil alan,artış,;4,7
B-ÖRNEKLER;Londra Green Enterprise Zone kurmuş;kurma,;3,2
E-İZMİR;Üniversiteler, sanat, kültür/turizm ve tıpta daha ileriye giden bir bölge olmalı.;üniversite,sanat,kültür,turizm,tıp,ileri,bölge,;2,9
C-İZMİR;İzmir’in bir teknoloji ve doğal tedavi merkezi haline getirilmesi ;teknoloji,tedavi,getirilme,;2,7
B-GÜNDEM;Bergama jeopark;jeopark,;2
C-İZMİR;Körfez ve liman İzmir’in en büyük değeri. Sirkülasyon kanalının açılması ve körfezin yüzülebilir olması, limana gemilerin yanaşabilir olması lazım.;körfez,liman,değer,sirkülasyon,kanal,açılma,körfez,yüzme,liman,gemi,;1,95
D-İZMİR;Temiz enerji İzmir’de öne çıkarılmalı, güneşten ziyade rüzgâr olmalı. ;temiz,enerji,çıkarılma,güneş,rüzgar,;1,95
F-AJANS;Körfez taraması limanın özelleşmesinden önce yapılırsa anlamı var yoksa özel sektör o riske giremez. Çünkü çevresel bir konu, davalar olabilir bu da risk demek.;körfez,tarama,liman,özelleşme,anlama,özel sektör,risk,konu,dava,risk,;1,95
D-GÜNDEM;Uluslararası teknopark kurulması. Ana sektörler kimya, petrokimya ve buna ek ilaç sektörü. Üniversitenin bu yoğunlaşmalarla İmir gündeminden uzaklaşması (Değeri 300 milyon TL olan 200 dönüm araziyi İYTE veriyor ve büyük ortak konumunda. Küçük ortak TPE. Eğer kuruşmasında sorun çıkarsa İYTE Teknopark anabölgesi olması için herşey hazır);teknopark,kurulma,ana,sektör,kimya,petrokimya,ek,ilaç,sektör,üniversite,yoğunlaşma,gündem,uzaklaşma,değer,milyon,tl,dönüm,arazi,büyük orta,konum,küçük orta,kuruş,sorun,çıkar,teknopark,;1,9
E-AJANS;Entelektüel nüfusu çekerek İzmir’i güçlendirmek. Eğitim kurumlarına destek, iyi eğitimcileri çekmek, STK’lar ile burs odaklı işbirlikleri (Ege Çağdaş Eğitim Vakfı gibi). Evde öğrenci barındırma da bir örnek. ;nüfus,çeker,güçlendirme,eğitim,kurum,destek,eğitimci,çekme,burs,ege,eğitim,vakıf,ev,öğrenci,barındırma,;1,9
C-İZMİR;Çin İpekyolu’nu canlandırmaya çalışıyor, İzmir en önemli çıkış noktası. Tarihçesi, 2 havaalanı, 3 limanı ile İzmir Dünya ticaret merkezi olma potansiyeline sahiptir.;ipekyolu,canlandırma,çıkış noktası,tarihçe,havaalanı,liman,dünya,ticaret merkezi,potansiyel,sahip,;1,8
F-ÖRNEKLER;Konteyner taşımacılığı (containerization) mucizevi bir buluştur. Öncesinde taşımacılığı gemi kiralayarak veya işleterek çok büyük sermaye sahipleri yapabiliyordu. Mal getirme-götürme işi konteyner taşımacılığı ile çok daha demokratik hale geldi. Artık 3 kişi biraraya gelip bir konteyner doldurup mal getirebiliyor. Son örnek 3. Nesil kave dükkanları. Kendi malzemelerini kendileri getirebiliyorlar. Bu, ticareti de çok büyüttü. Frigofirik konteynerler gıdada değişim yarattı. Ticaret eskiden olmadığı kadar büyüyor. Bu da liman ihtiyacı demek. Aynı zamanda tüketim alışkanlığının değişmesi, tüketimin hiç olmadığı kadar artması da bunda etken.;konteyner,taşımacılık,conta,taşımacılık,gemi,sermaye,sahip,mal,getirme,götürme,iş,konteyner,taşımacılık,hal,kişi,konteyner,mal,örnek,nesil,dükkan,malzeme,ticaret,konteyner,gıda,değişim,ticaret,liman,ihtiyaç,tüketim,alışkanlık,değişme,tüketim,artma,;1,8
B-AJANS;3 ana çalışma alanı: GREEN GROWTH, BLUE GROWTH ve İNOVASYON;ana,çalışma,alan,;1,35
B-AJANS;3 çalışma alanında stratejiler, fizibiliteler, destekler gibi pek çok somut çalışma ortaya çıkar.;çalışma,alan,strateji,fizibilite,destek,somut,çalışma,çıkar,;1,35
D-İZMİR;İzmir’de yabancı öğrenci potansiyeli yüksek, üniversite şehri İzmir olarak tanıtım olmalı. Buna yçönelik de İngilizce bölüm-üniversiteler açılması, konaklama olanaklarının artırılması, eski şehrin görünür hale getirilmesi (İBB binasının yıkımı ile) gerekiyor.;öğrenci,potansiyel,yüksek,üniversite,şehir,tanıtım,ingilizce,bölüm,üniversite,açılma,konaklama,olanak,artırılma,eski,şehir,hal,getirilme,bina,yıkım,;1,3
D-İZMİR;Göç ile gelen nüfus artışı için kentsel altyapının güçlendirilmesi gerekiyor. Çeşme raylı sistem, şehir içi trafik düzenlemeleri, kentsel dönüşüm öncelikli konular olmalı.;göç,nüfus,artış,altyapı,kent,güçlendirilme,çeşme,raylı sistem,şehir,iç,trafik,düzenleme,kentsel dönüşüm,;1,25
F-İZMİR;Geçmişte İzmir’de büyük alanlı ofis yoktu şu anda örnek Mistral binasında kat alanı 950 m2. Şirketler için uygun ofisler var. Üstelik maliyetler İstanbul’a göre çok cazip, benzer ofislerin ¼’ü. Şu anda satış değeri 2.250 $/m2. İzmir doğru tanıtım ve strateji ile İstanbul’dan kaliteli işgücü ve yatırımcı sağlayabilecektir. Çünkü yıllardır büyüyen İstanbul’un artık dengelenmesi gerekiyor.;geçmiş,alan,ofis,yok,örnek,bina,kat,alan,m2,şirket,ofis,üstelik,maliyet,benzer,ofis,satış değeri,m2,doğru,tanıtım,strateji,yatırımcı,dengelenme,;1,25
F-İZMİR;İstanbul’da şirketler ve insanlar arayış içinde ve İzmir’i bu arayışa güçlü bir cevap haline getirmek için şehrin altyapısı ve ulaşımını geliştirmek çok önemli. ;şirket,insan,arayış,arayış,cevap,getirme,şehir,altyapı,ulaşım,geliştirme,;1,25
A-GÜNDEM;YE Kooperatifleri, bununla ilgili mevzuat engelleri (konut dışındakilerin ve mahsup harici satışın kabul edilmemesi);kooperatif,mevzuat,konut,dış,satış,kabul,edilme,;1,15
A-İZMİR;İzmir tarihsel olarak bir liman şehri. “Kökleri bulmak” kent kinliği için gerekli. ;tarih,liman,şehir,kök,bulma,kent,;1,1
C-GÜNDEM;TARKEM 20 yıllık plan dahilinde tarihi alanı canlandırmaya çalışıyor.;yıllık,plan,dahili,tarihi,alan,canlandırma,;1,1
F-İZMİR;Cazip nokta olmakta çevre koruma çok önemli. İzmir’de şehir kültürü ve çevre bilincinin geliştirilmesi gerekiyor. Çeşme, Foça, Urla gibi farklılık sunan değerlerin yaşatılması çok önemlidir. ;nokta,çevre koruma,şehir,kültür,çevre,bilinç,geliştirilme,farklılık,sunma,değer,önem,;1
B-GÜNDEM;İzmir Yeşil Altyapı Stratejisi;yeşil,altyapı,strateji,;0,9
B-İZMİR;Ayrıca İzmir için liman kenti kimliği, körfezi ve sahil şeridi ile Blue Growth dikkate alınmalıdır. Bunun turizm, enerji, su ürünleri boyutları var, Ajans çalışabilir.;liman,kent,kimlik,körfez,sahil şeridi,dikkat,alınma,turizm,enerji,su ürünleri,ajans,;0,9
B-ÖRNEKLER;Çin’in sponge city kavramı, kentin suyu çekmesi;kavram,kent,su,çekme,;0,9
D-AJANS;Mevcut büyük firmaları destekleyecek küçük firmaların çıkarılması. İthal edilken birşeyin startup tarafından üretilmesi;mevcut,firma,firma,çıkarılma,taraf,üretilme,;0,8
B-AJANS;Bilimsel çalışma ve bilgi üretme çok kritik (örn. K.Menderes tarımında dağınık süt üreticileri toprağı nasıl etkiliyor, gelecekte neleri kaybediyoruz?);bilimsel,çalışma,bilgi,üretme,kritik,tarım,süt,üretici,toprak,etki,gelecek,;0,65
F-AJANS;Firmalar için en büyük sorun şu anda finansman boyutunda. Faizler çok yüksek, maliyetler yüksek. İnsan kaynağı için Narlıdere’de meslek okulu kurduk, iyi gidiyor. Meslek okulları bu anlamda önemli.;firma,sorun,finansman,boyut,faiz,yüksek,maliyet,yüksek,insan,kaynak,meslek,okul,meslek,okul,anlam,;0,65
C-İZMİR;İkinci değer kent tarihinde öneme sahip mevcut kaynaklardır, bunların kullanıma sokulması gerekir (Homeros, tarihi merkez, sağlık turizmi için Çeşme, Bergama, Balçova, Şifne, Agamennon…);ikinci,değer,kent,tarihi,önem,sahip,mevcut,kaynak,kullanım,sokulma,tarihi,merkez,sağlık,turizm,;0,5
B-ÖRNEKLER;Sorunları çözmeye odaklanan Solutions Lab örnekleri;sorun,çözme,odak,örnek,;0,45
